ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
171171909,2021-04-12T12:52:37,2021-04-12T13:32:44,buy,0.02,XAUUSDm,1740.532,1736.4170000000001,1735.001,1741,0,0,-8.23
171147866,2021-04-12T10:36:02,2021-04-12T11:05:23,sell,0.02,GBPNZDm,1.9521400000000002,1.95446,1.956,1.946,0,0,-3.27
171148936,2021-04-12T10:42:31,2021-04-12T10:53:48,buy,0.02,GBPUSDm,1.3756400000000002,1.3758700000000001,1.374,0,0,0,0.46
171143220,2021-04-12T10:00:37,2021-04-12T10:39:19,sell,0.01,GBPUSDm,1.37349,1.3755,1.3755,1.3708,0,0,-2.01
171131128,2021-04-12T09:02:05,2021-04-12T09:17:57,sell,0.01,GBPUSDm,1.3743800000000002,1.3746500000000001,1.375,1.373,0,0,-0.27
171115038,2021-04-12T07:33:17,2021-04-12T08:02:06,sell,0.01,BTCUSDm,61096.69,60754.270000000004,0,0,0,0,3.43
171117114,2021-04-12T07:40:55,2021-04-12T08:00:34,sell,0.02,BTCUSDm,60837.32,60700.090000000004,0,0,0,0,2.75
171111283,2021-04-12T07:20:05,2021-04-12T07:39:11,buy,0.15,GBPCADm,1.72368,1.7245700000000002,1.7205,1.726,0,0,10.62
171082646,2021-04-12T04:15:16,2021-04-12T07:33:32,buy,0.02,GBPCADm,1.7189900000000002,1.7247000000000001,1.719,1.725,0,0,9.09
171110310,2021-04-12T07:14:26,2021-04-12T07:33:27,buy,0.25,GBPCADm,1.72344,1.7247700000000001,1.7205,1.726,0,0,26.47
171075035,2021-04-12T03:04:07,2021-04-12T06:55:48,sell,0.01,XAUUSDm,1738.8880000000001,1741.741,1745,1733,0,0,-2.85
171072274,2021-04-12T02:37:45,2021-04-12T06:55:40,sell,0.02,XAUUSDm,1736.9460000000001,1741.733,1745.5,1732.5,0,0,-9.58
171097979,2021-04-12T06:15:25,2021-04-12T06:55:33,sell,0.05,XAUUSDm,1739.596,1741.695,1745.793,1738,0,0,-10.5
171094686,2021-04-12T05:59:28,2021-04-12T06:10:33,sell,0.02,XAUUSDm,1738.438,1740,1740,1736.071,0,0,-3.12
171081679,2021-04-12T04:03:47,2021-04-12T05:00:17,buy,0.02,GBPUSDm,1.3692600000000001,1.368,1.368,1.369,0,0,-2.52
170450383,2021-04-07T12:00:31,2021-04-07T12:17:47,buy,0.01,XAUUSDm,1733.64,1731.5,1731.5,1735.705,0,0,-2.14
170451925,2021-04-07T11:45:30,2021-04-07T12:16:13,sell,0.01,NZDJPYm,77.28,77.21,77.5,77.21,0,0,0.64
170445113,2021-04-07T11:14:39,2021-04-07T11:23:14,buy,0.01,XAUUSDm,1735.848,1734.5,1734.5,1736,0,0,-1.35
170445790,2021-04-07T11:17:26,2021-04-07T11:23:13,buy,0.01,XAUUSDm,1735.669,1734.5,1734.5,1736,0,0,-1.17
170414196,2021-04-07T08:36:05,2021-04-07T09:09:15,buy,0.01,GBPNZDm,1.9645000000000001,1.96297,0,1.965,0,0,-1.08
170410941,2021-04-07T08:20:45,2021-04-07T08:32:05,buy,0.01,XAUUSDm,1737.5,1737.695,0,1738,0,0,0.2
170404135,2021-04-07T07:53:08,2021-04-07T07:59:09,buy,0.01,GBPCHFm,1.28352,1.2838100000000001,0,0,0,0,0.31
170365790,2021-04-07T04:19:32,2021-04-07T06:00:47,buy,0.1,GBPAUDm,1.80705,1.8041,1.8041,1.80783,0,0,-22.58
170370836,2021-04-07T05:18:06,2021-04-07T05:46:52,buy,0.02,GBPAUDm,1.8062600000000002,1.805,1.805,1.807,0,0,-1.93
170356652,2021-04-07T03:22:39,2021-04-07T05:42:12,buy,0.04,GBPAUDm,1.8059800000000001,1.80513,1.80513,1.80811,0,0,-2.61
170275361,2021-04-06T14:16:07,2021-04-06T14:22:55,sell,0.04,XAUUSDm,1741.378,1742.858,0,0,0,0,-5.92
170272829,2021-04-06T14:08:08,2021-04-06T14:08:59,sell,0.04,XAUUSDm,1743.375,1743.3700000000001,0,0,0,0,0.02
170268666,2021-04-06T13:56:46,2021-04-06T14:01:59,buy,0.02,XAUUSDm,1741.775,1743.036,0,1745,0,0,2.52
170267814,2021-04-06T13:54:22,2021-04-06T14:01:20,buy,0.02,XAUUSDm,1741.098,1744,0,1744,0,0,5.8
170253629,2021-04-06T13:00:19,2021-04-06T13:12:26,sell,0.05,EURNZDm,1.6802800000000002,1.6821400000000002,1.684,1.6792,0,0,-6.54
170251882,2021-04-06T12:55:06,2021-04-06T12:58:23,sell,0.05,EURNZDm,1.6806800000000002,1.6815000000000002,0,0,0,0,-2.89
170228947,2021-04-06T11:12:59,2021-04-06T12:51:49,sell,0.02,EURNZDm,1.6831300000000002,1.68121,1.6829,1.6746,0,0,2.7
170229144,2021-04-06T11:14:14,2021-04-06T12:51:42,sell,0.01,EURNZDm,1.6831800000000001,1.6812200000000002,1.6829,1.6756,0,0,1.38
170230402,2021-04-06T11:23:41,2021-04-06T12:51:35,sell,0.11,EURNZDm,1.6828400000000001,1.68121,1.6829,1.678,0,0,12.62
170209072,2021-04-06T08:59:40,2021-04-06T09:29:33,buy,0.02,GBPUSDm,1.38548,1.3837,1.3837,1.3865,0,0,-3.56
170170043,2021-04-06T06:10:15,2021-04-06T06:12:42,sell,0.2,XAUUSDm,1736.99,1737.493,0,0,0,0,-10.06
170168709,2021-04-06T06:01:31,2021-04-06T06:08:46,buy,0.2,XAUUSDm,1738.742,1737.12,1737.12,1739,0,0,-32.44
170165644,2021-04-06T05:41:06,2021-04-06T05:44:30,buy,0.05,XAUUSDm,1736.176,1736.7,1735.002,1737.01,0,0,2.62
170156383,2021-04-06T04:31:20,2021-04-06T04:54:23,sell,0.02,XAUUSDm,1734.1680000000001,1736,1736,1734.25,0,0,-3.66
170157205,2021-04-06T04:36:30,2021-04-06T04:54:23,sell,0.02,XAUUSDm,1734.748,1736,1736,1734.306,0,0,-2.5
170155866,2021-04-06T04:28:21,2021-04-06T04:50:24,sell,0.03,XAUUSDm,1733.843,1735.5,1735.5,1734,0,0,-4.97
170093190,2021-04-05T15:21:13,2021-04-05T15:36:08,buy,0.03,XAUUSDm,1732.602,1731.181,0,0,0,0,-4.27
170090076,2021-04-05T15:10:26,2021-04-05T15:16:23,buy,0.03,XAUUSDm,1726.721,1727.393,0,1729,0,0,2.02
170085472,2021-04-05T14:48:40,2021-04-05T15:10:13,sell,0.03,XAUUSDm,1726.093,1726.767,1731.088,1725,0,0,-2.02
170088069,2021-04-05T15:01:38,2021-04-05T15:03:43,sell,0.03,XAUUSDm,1727.7250000000001,1727.253,1729,1727,0,0,1.42
170050728,2021-04-05T12:25:32,2021-04-05T13:03:23,sell,0.03,GBPAUDm,1.8177500000000002,1.81715,0,1.814,0,0,1.38
170034979,2021-04-05T10:14:30,2021-04-05T13:03:03,sell,0.03,NZDCADm,0.8842700000000001,0.8840500000000001,0.89,0.865,0,0,0.52
170057016,2021-04-05T12:48:40,2021-04-05T12:55:33,sell,0.05,XAUUSDm,1725.781,1724,1729,1724,0,0,8.91
170057683,2021-04-05T12:51:09,2021-04-05T12:55:33,sell,0.05,XAUUSDm,1725.515,1724,1729,1724,0,0,7.58
170027542,2021-04-05T09:00:07,2021-04-05T12:37:58,sell,0.03,EURJPYm,129.913,130.05,130.05,129.65,0,0,-3.72
170041075,2021-04-05T11:16:57,2021-04-05T12:37:58,sell,0.03,EURJPYm,129.9,130.05,130.05,129.65,0,0,-4.07
